Time,_utime_,Temperature,TSYS01Data/temperature,PressureAdjustedData/depth,Raw Salinity
2026-04-29T17:27:18.715Z,1777483638715983,23.49768958220011,25.761632701786993,0.3547979738340345,0.28
2026-04-29T17:27:19.715Z,1777483639715983,23.51812623960417,25.73361395501388,0.35515656727464506,0.28
2026-04-29T17:27:20.715Z,1777483640715983,23.51562702640891,25.751125885653096,0.3503420442717855,0.28
2026-04-29T17:27:21.715Z,1777483641715983,23.479404048940488,25.7909711311778,0.3524076862188472,0.28
2026-04-29T17:27:22.715Z,1777483642715983,23.52575041040778,25.8816168762786,0.35033531538273666,0.28
2026-04-29T17:27:23.715Z,1777483643715983,23.531824426501988,25.907181865029997,0.347564226387828,0.28
2026-04-29T17:27:24.715Z,1777483644715983,23.532425500427927,25.962468388305638,0.35147663337685864,0.28
2026-04-29T17:27:25.715Z,1777483645715983,23.53675955667859,26.04614426693115,0.34847753429743383,0.28
2026-04-29T17:27:26.715Z,1777483646715983,23.53505124318821,26.109600279253527,0.34747387192856294,0.28
2026-04-29T17:27:27.715Z,1777483647715983,23.547642126397694,26.135481833713698,0.34468622351130507,0.28
2026-04-29T17:27:28.715Z,1777483648715983,23.553905915445068,26.1608336833649,0.34473218795853866,0.28
2026-04-29T17:27:29.715Z,1777483649715983,23.554696797089274,26.16558698883739,0.345761579681106,0.28
2026-04-29T17:27:30.715Z,1777483650715983,23.559853340950212,26.166049112956898,0.34749891781179676,0.28
2026-04-29T17:27:31.715Z,1777483651715983,23.562668873905057,26.159051180271035,0.34454214815901063,0.29
2026-04-29T17:27:32.715Z,1777483652715983,23.563301577622624,26.17047227584021,0.343196146040966,0.29
2026-04-29T17:27:33.715Z,1777483653715983,23.562099440459715,26.142546171152503,0.3455543046034982,0.29
2026-04-29T17:27:34.715Z,1777483654715983,23.55915736615658,26.129143637831362,0.3393273856261987,0.29
2026-04-29T17:27:35.715Z,1777483655715983,23.569723513768405,26.111581065492032,0.33969554353521536,0.29
2026-04-29T17:27:36.715Z,1777483656715983,23.571368539817048,26.093555574544666,0.3391513485180412,0.29
2026-04-29T17:27:37.715Z,1777483657715983,23.573677901980556,26.08100991524998,0.33770299597761083,0.29
2026-04-29T17:27:38.715Z,1777483658715983,23.575133115697973,26.131586495221995,0.332847065937206,0.29
2026-04-29T17:27:39.715Z,1777483659715983,23.5763668833673,26.198792643868615,0.338513214621725,0.29
2026-04-29T17:27:40.715Z,1777483660715983,23.57867624217397,26.225989004511007,0.3491305211219795,0.29
2026-04-29T17:27:41.715Z,1777483661715983,23.58348476512343,26.226055013003474,0.33737291716997625,0.29
2026-04-29T17:27:42.715Z,1777483662715983,23.571210364269646,26.245065037292875,0.34076081937808467,0.29
2026-04-29T17:27:43.715Z,1777483663715983,23.59452536145167,26.24341489487017,0.3302003496433423,0.29
2026-04-29T17:27:44.715Z,1777483664715983,23.589969933451503,26.211400879219696,0.3379107784315894,0.29
2026-04-29T17:27:45.715Z,1777483665715983,23.593481409734668,26.211070825413003,0.33598590293075287,0.29
2026-04-29T17:27:46.715Z,1777483666715983,23.586458453582456,26.227177155823824,0.3352970823868967,0.29
2026-04-29T17:27:47.715Z,1777483667715983,23.598637895435093,26.27760455273051,0.33263116973274204,0.29
2026-04-29T17:27:48.715Z,1777483668715983,23.59313342575857,26.34478789431239,0.3315123877580605,0.29
