Time,_utime_,TSYS01Data/temperature,Raw Salinity,PressureAdjustedData/depth,Temperature
2026-04-29T17:40:24.178Z,1777484424178197,17.85679205556562,0.1,0.32995318525555134,23.32799103602869
2026-04-29T17:40:25.178Z,1777484425178197,17.86877258532138,0.1,0.33068491596484895,23.321663560665765
2026-04-29T17:40:26.178Z,1777484426178197,17.880550869845933,0.1,0.329469124871683,23.31182431335037
2026-04-29T17:40:27.178Z,1777484427178197,17.883377610009234,0.1,0.3311570738002778,23.312773438112345
2026-04-29T17:40:28.178Z,1777484428178197,17.91770082566802,0.1,0.3303631292224259,23.309546412852942
2026-04-29T17:40:29.178Z,1777484429178197,17.96796928478443,0.1,0.3333946737408991,23.30992606304062
2026-04-29T17:40:30.178Z,1777484430178197,18.021192249930778,0.1,0.32996984275118296,23.30388329257825
2026-04-29T17:40:31.178Z,1777484431178197,18.07817589235424,0.1,0.32910013727913373,23.299422392388223
2026-04-29T17:40:32.178Z,1777484432178197,18.162123832088696,0.1,0.3283292703843899,23.30125737330876
2026-04-29T17:40:33.178Z,1777484433178197,18.24753476214994,0.1,0.33323863033742757,23.30565499601289
2026-04-29T17:40:34.178Z,1777484434178197,18.331449570607788,0.1,0.3308307417040315,23.304737506848177
2026-04-29T17:40:35.178Z,1777484435178197,18.375753733774104,0.1,0.3267115270338716,23.30957805037018
2026-04-29T17:40:36.178Z,1777484436178197,18.409499814031733,0.1,0.3275749295272992,23.316221922542756
2026-04-29T17:40:37.178Z,1777484437178197,18.43242143436123,0.1,0.3335738384297128,23.319259116975445
2026-04-29T17:40:38.178Z,1777484438178197,18.444856405124824,0.1,0.33161017651559965,23.31827835656644
2026-04-29T17:40:39.178Z,1777484439178197,18.473892338864403,0.1,0.32649697109893544,23.323055606244452
2026-04-29T17:40:40.178Z,1777484440178197,18.52046671165556,0.1,0.33039656719035454,23.32992091369757
2026-04-29T17:40:41.178Z,1777484441178197,18.571202157406674,0.1,0.3293447540503217,23.326029519911245
2026-04-29T17:40:42.178Z,1777484442178197,18.65330694853094,0.1,0.32664499608637926,23.325649871501227
2026-04-29T17:40:43.178Z,1777484443178197,18.706176267360775,0.1,0.3306846458253013,23.335394167424965
2026-04-29T17:40:44.178Z,1777484444178197,18.78765078370418,0.1,0.3297005869117093,23.333021370635834
2026-04-29T17:40:45.178Z,1777484445178197,18.782210675614465,0,0.3239618127553223,23.336438197493553
2026-04-29T17:40:46.178Z,1777484446178197,18.756553927485015,0.1,0.325877059286995,23.348934896440333
